"FRAUDFOUND","WEEKOFMONTH","DAYOFWEEK","MAKE","ACCIDENTAREA","DAYOFWEEKCLAIMED","MONTHCLAIMED","WEEKOFMONTHCLAIMED","SEX","MARITALSTATUS","FAULT","VEHICLECATEGORY","VEHICLEPRICE","POLICYNUMBER","REPNUMBER","DEDUCTIBLE","DRIVERRATING","DAYS:POLICY-ACCIDENT","DAYS:POLICY-CLAIM","PASTNUMBEROFCLAIMS","AGEOFVEHICLE","AGEOFPOLICYHOLDER","POLICEREPORTFILED","WITNESSPRESENT","AGENTTYPE","NUMBEROFSUPPLIMENTS","ADDRESSCHANGE-CLAIM","NUMBEROFCARS","BASEPOLICY"
"No",2,"Thursday","Pontiac","Urban","Friday","Oct",2,"Male","Single","PolicyHolder","Sport","20_000 to 29_000",6790,3,700,3,"morethan30","morethan30","2to4","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",5,"Friday","Pontiac","Rural","Monday","Oct",2,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",6791,11,400,1,"morethan30","morethan30","1","7years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"No",4,"Saturday","Mazda","Urban","Wednesday","Jan",2,"Male","Single","PolicyHolder","Sport","20_000 to 29_000",6805,4,400,1,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","4to8years","2vehicles","Liability"
"Yes",1,"Saturday","VW","Urban","Monday","Oct",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6807,1,400,1,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","1to2","nochange","3to4","AllPerils"
"Yes",1,"Saturday","Pontiac","Urban","Thursday","Oct",1,"Male","Married","PolicyHolder","Sedan","less than 20_000",6810,11,400,3,"morethan30","morethan30","2to4","7years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"Yes",2,"Tuesday","Mazda","Urban","Tuesday","Jun",3,"Male","Single","PolicyHolder","Sedan","less than 20_000",4348,9,400,1,"morethan30","morethan30","none","6years","31to35","No","No","External","1to2","4to8years","2vehicles","AllPerils"
"No",2,"Tuesday","Dodge","Urban","Friday","Jul",4,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",7814,2,400,3,"morethan30","morethan30","morethan4","7years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"Yes",2,"Tuesday","Chevrolet","Rural","Tuesday","Nov",3,"Male","Single","PolicyHolder","Utility","more than 69_000",7822,2,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Friday","Toyota","Rural","Tuesday","Oct",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7826,15,400,4,"morethan30","morethan30","none","5years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"No",2,"Friday","Mazda","Rural","Friday","Aug",3,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",7828,2,400,2,"morethan30","morethan30","1","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",2,"Tuesday","Toyota","Urban","Wednesday","Nov",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7829,9,400,4,"morethan30","morethan30","1","morethan7","41to50","No","No","External","none","nochange","1vehicle","AllPerils"
"No",1,"Friday","Dodge","Rural","Tuesday","Jun",1,"Female","Single","PolicyHolder","Sedan","20_000 to 29_000",7832,5,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","3to4","Collision"
"No",1,"Saturday","Pontiac","Urban","Monday","Apr",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7838,12,400,4,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","none","nochange","1vehicle","Collision"
"No",2,"Thursday","Chevrolet","Urban","Friday","Aug",2,"Female","Married","PolicyHolder","Sport","20_000 to 29_000",7853,11,400,3,"morethan30","morethan30","none","6years","41to50","No","No","External","1to2","nochange","1vehicle","Liability"
"Yes",2,"Thursday","Honda","Urban","Friday","Nov",2,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",7871,13,400,1,"morethan30","morethan30","none","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",2,"Thursday","Toyota","Rural","Friday","Nov",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7872,5,400,2,"morethan30","morethan30","none","4years","41to50","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Thursday","Pontiac","Urban","Wednesday","Nov",3,"Male","Single","PolicyHolder","Sedan","30_000 to 39_000",7873,7,400,3,"morethan30","morethan30","2to4","5years","31to35","No","No","External","morethan5","nochange","3to4","Collision"
"No",3,"Thursday","Mazda","Urban","Thursday","Dec",3,"Female","Single","PolicyHolder","Sport","20_000 to 29_000",7883,1,400,4,"morethan30","morethan30","morethan4","6years","31to35","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",2,"Saturday","Pontiac","Rural","Monday","Aug",3,"Female","Single","PolicyHolder","Sport","20_000 to 29_000",7885,6,400,1,"morethan30","morethan30","2to4","6years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"No",2,"Sunday","Mazda","Urban","Monday","Dec",2,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",7889,15,400,3,"morethan30","morethan30","morethan4","morethan7","51to65","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",5,"Monday","Toyota","Rural","Friday","Apr",1,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",7930,1,400,3,"morethan30","morethan30","2to4","6years","41to50","No","No","External","none","nochange","1vehicle","Liability"
"No",4,"Monday","Toyota","Urban","Monday","Jun",4,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",7934,15,400,2,"morethan30","morethan30","1","morethan7","over65","No","No","External","none","nochange","1vehicle","Liability"
"No",1,"Wednesday","Pontiac","Urban","Friday","Apr",2,"Male","Married","PolicyHolder","Sport","less than 20_000",7942,12,400,3,"morethan30","morethan30","morethan4","7years","over65","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",3,"Saturday","Toyota","Urban","Tuesday","Oct",4,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",7945,2,400,4,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","nochange","1vehicle","Liability"
"No",1,"Tuesday","Pontiac","Urban","Monday","Sep",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7957,4,500,1,"morethan30","morethan30","morethan4","morethan7","51to65","No","No","External","none","2to3years","1vehicle","Collision"
"No",4,"Tuesday","Honda","Urban","Thursday","Dec",2,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",7972,6,400,1,"morethan30","morethan30","2to4","7years","31to35","No","No","External","1to2","nochange","1vehicle","Liability"
"No",1,"Thursday","Pontiac","Urban","Tuesday","Dec",3,"Male","Single","PolicyHolder","Sport","30_000 to 39_000",7983,5,400,2,"morethan30","morethan30","2to4","5years","26to30","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",3,"Monday","Mazda","Urban","Wednesday","Nov",4,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7998,15,400,3,"morethan30","morethan30","none","4years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Sunday","Toyota","Urban","Monday","Dec",2,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",8008,13,500,3,"morethan30","morethan30","2to4","morethan7","36to40","Yes","No","External","morethan5","nochange","1vehicle","Collision"
"No",4,"Wednesday","Toyota","Urban","Tuesday","Nov",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8013,13,400,4,"morethan30","morethan30","2to4","6years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"No",2,"Tuesday","Ford","Urban","Thursday","Dec",3,"Female","Single","PolicyHolder","Sport","30_000 to 39_000",8043,3,400,1,"morethan30","morethan30","none","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",4,"Friday","Chevrolet","Urban","Friday","Sep",2,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",8048,15,400,4,"morethan30","morethan30","morethan4","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",3,"Thursday","Accura","Urban","Wednesday","Dec",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8059,6,500,2,"morethan30","morethan30","2to4","6years","31to35","No","No","External","3to5","2to3years","1vehicle","Collision"
"No",3,"Sunday","Nisson","Urban","Thursday","Apr",5,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8060,14,400,1,"morethan30","morethan30","1","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",3,"Wednesday","Mazda","Urban","Thursday","Mar",3,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",8062,12,400,4,"morethan30","morethan30","1","7years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"Yes",3,"Friday","Honda","Urban","Friday","Nov",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8092,11,700,2,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","nochange","1vehicle","Collision"
"Yes",3,"Friday","Mazda","Urban","Monday","Dec",3,"Male","Single","PolicyHolder","Sedan","30_000 to 39_000",8098,3,400,3,"morethan30","morethan30","2to4","6years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"Yes",3,"Saturday","Toyota","Rural","Tuesday","Nov",5,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8099,7,400,3,"morethan30","morethan30","none","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",3,"Saturday","Saturn","Urban","Friday","Dec",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8105,1,400,1,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Tuesday","Honda","Urban","Thursday","Dec",5,"Female","Single","ThirdParty","Sedan","20_000 to 29_000",8108,9,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",1,"Friday","Toyota","Urban","Friday","Feb",1,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",8110,10,500,2,"morethan30","morethan30","morethan4","morethan7","36to40","No","No","External","1to2","2to3years","1vehicle","Liability"
"Yes",3,"Sunday","Pontiac","Urban","Monday","Jan",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",8113,13,400,3,"morethan30","morethan30","2to4","6years","31to35","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",4,"Monday","Chevrolet","Urban","Wednesday","Mar",4,"Male","Married","ThirdParty","Sport","20_000 to 29_000",8128,5,400,4,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","4to8years","2vehicles","Liability"
"No",2,"Thursday","Honda","Urban","Tuesday","Sep",2,"Male","Married","PolicyHolder","Sedan","more than 69_000",8137,12,400,1,"morethan30","morethan30","2to4","6years","31to35","No","No","External","3to5","nochange","1vehicle","Collision"
"No",4,"Monday","VW","Rural","Wednesday","Jun",5,"Male","Married","PolicyHolder","Sport","more than 69_000",8158,2,400,4,"morethan30","morethan30","1","morethan7","41to50","No","No","External","none","nochange","1vehicle","Liability"
"No",4,"Sunday","Pontiac","Urban","Monday","Apr",4,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8162,3,400,4,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",5,"Thursday","Ford","Urban","Tuesday","Aug",1,"Male","Married","PolicyHolder","Sport","40_000 to 59_000",8166,9,400,1,"morethan30","morethan30","1","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",4,"Wednesday","Pontiac","Urban","Tuesday","Jan",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8167,5,400,4,"morethan30","morethan30","none","morethan7","36to40","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Friday","Pontiac","Urban","Monday","Sep",4,"Male","Single","ThirdParty","Sedan","less than 20_000",8169,8,400,4,"morethan30","morethan30","1","4years","26to30","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",2,"Friday","Toyota","Urban","Thursday","Dec",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",8172,7,400,3,"morethan30","morethan30","1","6years","31to35","No","No","External","3to5","nochange","1vehicle","Collision"
"No",2,"Thursday","Pontiac","Urban","Thursday","Nov",2,"Male","Married","PolicyHolder","Sport","more than 69_000",8198,1,400,3,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",2,"Friday","Honda","Urban","Friday","May",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8211,6,400,3,"morethan30","morethan30","morethan4","6years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"No",3,"Wednesday","Pontiac","Urban","Friday","Jun",3,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",8224,12,400,4,"morethan30","morethan30","2to4","7years","41to50","No","No","External","none","nochange","1vehicle","Collision"
"No",5,"Thursday","Pontiac","Urban","Monday","Jan",1,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",8248,9,400,1,"morethan30","morethan30","1","7years","36to40","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"Yes",5,"Monday","Chevrolet","Urban","Friday","Dec",1,"Male","Single","PolicyHolder","Sedan","60_000 to 69_000",8251,6,400,3,"morethan30","morethan30","2to4","6years","36to40","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Saturday","Accura","Urban","Friday","Jun",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8252,12,400,4,"morethan30","morethan30","2to4","6years","31to35","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",5,"Monday","Ford","Rural","Tuesday","Dec",2,"Male","Single","PolicyHolder","Utility","more than 69_000",8253,14,400,4,"morethan30","morethan30","1","morethan7","36to40","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"Yes",5,"Tuesday","Mazda","Urban","Monday","Dec",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8290,14,400,4,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",5,"Wednesday","Pontiac","Urban","Wednesday","Nov",5,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8311,15,400,2,"morethan30","morethan30","1","4years","36to40","No","No","External","3to5","nochange","1vehicle","Collision"
"Yes",2,"Sunday","Pontiac","Urban","Monday","Nov",3,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",8314,11,500,4,"morethan30","morethan30","none","6years","31to35","No","No","External","none","2to3years","1vehicle","AllPerils"
"No",4,"Thursday","Pontiac","Urban","Tuesday","Nov",5,"Male","Single","PolicyHolder","Sport","20_000 to 29_000",8333,5,400,4,"morethan30","morethan30","1","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",1,"Thursday","Toyota","Urban","Friday","Dec",1,"Male","Married","PolicyHolder","Sport","more than 69_000",8335,11,400,2,"morethan30","morethan30","2to4","7years","36to40","No","No","External","3to5","nochange","1vehicle","Liability"
"Yes",1,"Friday","Honda","Urban","Friday","Dec",3,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",8353,11,400,3,"morethan30","morethan30","2to4","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",1,"Saturday","Toyota","Urban","Monday","Dec",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8363,14,400,3,"morethan30","morethan30","none","6years","36to40","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Saturday","Toyota","Urban","Monday","Aug",4,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",8365,13,500,3,"morethan30","morethan30","1","7years","36to40","No","No","External","none","2to3years","3to4","Collision"
"Yes",1,"Sunday","Chevrolet","Urban","Thursday","Dec",3,"Male","Single","PolicyHolder","Utility","more than 69_000",8367,11,400,2,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Wednesday","Pontiac","Urban","Thursday","Mar",3,"Male","Married","ThirdParty","Sport","less than 20_000",8371,9,700,2,"morethan30","morethan30","1","morethan7","51to65","No","No","External","none","nochange","1vehicle","Liability"
"Yes",1,"Sunday","Pontiac","Urban","Friday","Dec",3,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8378,1,400,2,"morethan30","morethan30","2to4","7years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"No",5,"Tuesday","Pontiac","Urban","Wednesday","Jun",5,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8424,9,400,2,"morethan30","morethan30","1","morethan7","over65","No","No","External","none","nochange","1vehicle","Collision"
"No",1,"Friday","Toyota","Urban","Tuesday","Nov",2,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",8429,14,400,2,"morethan30","morethan30","morethan4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",2,"Saturday","Mazda","Urban","Wednesday","Mar",3,"Male","Married","PolicyHolder","Sport","more than 69_000",8439,16,400,2,"morethan30","morethan30","morethan4","6years","36to40","No","No","External","morethan5","nochange","1vehicle","Liability"
"No",3,"Sunday","Pontiac","Urban","Wednesday","Nov",4,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",8445,7,400,4,"morethan30","morethan30","none","5years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Wednesday","Toyota","Urban","Monday","Dec",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",8454,15,400,1,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Saturday","Toyota","Urban","Monday","Sep",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",8456,9,400,3,"morethan30","morethan30","none","morethan7","over65","No","No","External","3to5","nochange","1vehicle","Collision"
"Yes",2,"Wednesday","Pontiac","Urban","Wednesday","Dec",3,"Male","Single","PolicyHolder","Sedan","30_000 to 39_000",8459,2,400,3,"morethan30","morethan30","morethan4","morethan7","51to65","No","No","External","3to5","nochange","1vehicle","Collision"
"No",4,"Friday","Mazda","Urban","Thursday","Jun",1,"Female","Married","ThirdParty","Sedan","20_000 to 29_000",8463,12,400,3,"morethan30","morethan30","1","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",2,"Wednesday","Pontiac","Urban","Monday","Dec",2,"Female","Married","PolicyHolder","Sedan","less than 20_000",8466,6,400,3,"morethan30","morethan30","1","6years","31to35","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",1,"Monday","Mazda","Urban","Wednesday","Jan",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6821,8,700,1,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",1,"Saturday","Accura","Urban","Monday","Apr",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",6823,5,400,2,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",1,"Sunday","Mazda","Urban","Friday","Oct",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6835,10,500,2,"morethan30","morethan30","2to4","7years","51to65","No","No","External","none","2to3years","1vehicle","Collision"
"No",1,"Tuesday","Pontiac","Urban","Thursday","Feb",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6847,2,400,3,"morethan30","morethan30","1","morethan7","51to65","No","No","External","none","4to8years","2vehicles","AllPerils"
"Yes",1,"Sunday","Chevrolet","Urban","Wednesday","Oct",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6855,5,400,2,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",1,"Monday","Chevrolet","Urban","Wednesday","Oct",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6869,5,400,1,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",1,"Monday","Mazda","Urban","Wednesday","Oct",1,"Male","Married","PolicyHolder","Sedan","more than 69_000",6886,12,500,2,"morethan30","morethan30","none","7years","36to40","No","No","External","none","2to3years","1vehicle","Collision"
"No",2,"Thursday","Pontiac","Urban","Thursday","Mar",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6902,15,400,4,"morethan30","morethan30","morethan4","6years","31to35","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"Yes",1,"Monday","Accura","Urban","Monday","Oct",1,"Male","Married","PolicyHolder","Utility","more than 69_000",6911,1,400,4,"morethan30","morethan30","none","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Tuesday","Pontiac","Rural","Thursday","Oct",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6922,4,400,1,"morethan30","morethan30","none","morethan7","over65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",5,"Wednesday","Mazda","Urban","Wednesday","Jan",2,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",6928,2,400,2,"morethan30","morethan30","morethan4","morethan7","41to50","No","No","External","1to2","nochange","1vehicle","Liability"
"No",4,"Tuesday","Pontiac","Urban","Tuesday","Jan",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6929,14,400,3,"morethan30","morethan30","none","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",2,"Saturday","Chevrolet","Urban","Tuesday","Jan",3,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",6937,8,500,1,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","2to3years","1vehicle","AllPerils"
"No",4,"Saturday","Honda","Rural","Wednesday","Jan",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",6938,13,400,2,"morethan30","morethan30","2to4","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Tuesday","Mazda","Urban","Tuesday","Feb",2,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",6941,6,400,1,"morethan30","morethan30","none","5years","26to30","No","No","External","1to2","nochange","1vehicle","AllPerils"
"No",4,"Thursday","Toyota","Urban","Thursday","Jun",4,"Female","Widow","PolicyHolder","Sedan","20_000 to 29_000",6946,7,400,4,"morethan30","morethan30","1","3years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"No",4,"Tuesday","Ford","Urban","Tuesday","Mar",4,"Male","Married","ThirdParty","Sport","30_000 to 39_000",6985,2,400,3,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",2,"Wednesday","Pontiac","Urban","Thursday","Feb",2,"Female","Married","ThirdParty","Sedan","20_000 to 29_000",6988,1,500,2,"morethan30","morethan30","none","6years","36to40","No","No","External","1to2","2to3years","1vehicle","Collision"
"Yes",2,"Friday","Saturn","Urban","Monday","Oct",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",6991,10,400,4,"morethan30","morethan30","none","morethan7","51to65","No","No","External","3to5","nochange","1vehicle","AllPerils"
"Yes",2,"Friday","Toyota","Urban","Thursday","Oct",2,"Male","Single","PolicyHolder","Sedan","less than 20_000",6994,9,400,3,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","4to8years","2vehicles","AllPerils"
"No",1,"Thursday","Honda","Urban","Friday","Jan",2,"Female","Married","ThirdParty","Sport","more than 69_000",7009,4,400,2,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Saturday","Toyota","Urban","Monday","Oct",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",7019,5,400,1,"morethan30","morethan30","none","3years","21to25","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",3,"Monday","Pontiac","Urban","Wednesday","Jan",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7021,11,400,1,"morethan30","morethan30","1","morethan7","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",5,"Friday","Pontiac","Urban","Wednesday","Jan",1,"Female","Married","PolicyHolder","Sedan","20_000 to 29_000",7029,5,400,2,"morethan30","morethan30","none","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Sunday","Mecedes","Urban","Monday","Oct",2,"Male","Married","PolicyHolder","Sedan","more than 69_000",7044,14,400,3,"morethan30","morethan30","none","7years","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Sunday","Pontiac","Urban","Tuesday","Oct",2,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",7048,11,400,1,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",2,"Sunday","Mazda","Urban","Tuesday","Oct",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7050,9,400,3,"morethan30","morethan30","1","7years","36to40","No","No","External","1to2","nochange","1vehicle","Collision"
"Yes",2,"Sunday","Pontiac","Urban","Saturday","Oct",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",7052,13,400,4,"morethan30","morethan30","none","2years","21to25","No","No","External","1to2","nochange","1vehicle","AllPerils"
"Yes",2,"Sunday","Chevrolet","Urban","Monday","Oct",2,"Male","Single","PolicyHolder","Sedan","more than 69_000",7053,3,400,2,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","nochange","3to4","AllPerils"
"No",2,"Wednesday","Mazda","Rural","Tuesday","Jan",3,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7061,2,400,3,"morethan30","morethan30","none","7years","36to40","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",2,"Monday","Toyota","Urban","Tuesday","Oct",2,"Male","Married","PolicyHolder","Sport","20_000 to 29_000",7065,7,400,3,"morethan30","morethan30","none","morethan7","41to50","No","No","External","none","nochange","1vehicle","Liability"
"Yes",2,"Monday","Pontiac","Urban","Friday","Nov",4,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",7076,7,400,4,"morethan30","morethan30","morethan4","6years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"No",2,"Friday","Honda","Urban","Friday","Jun",1,"Male","Married","ThirdParty","Sport","more than 69_000",7086,14,400,2,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","none","nochange","1vehicle","Collision"
"No",3,"Friday","Dodge","Urban","Friday","Feb",3,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",7095,11,400,2,"morethan30","morethan30","1","7years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"Yes",2,"Tuesday","Pontiac","Urban","Wednesday","Oct",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7107,12,400,3,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",2,"Wednesday","Pontiac","Urban","Monday","Nov",4,"Male","Single","PolicyHolder","Sport","30_000 to 39_000",7120,16,400,3,"morethan30","morethan30","2to4","6years","31to35","No","No","Internal","none","nochange","1vehicle","Liability"
"Yes",4,"Monday","Honda","Urban","Monday","Oct",4,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7466,9,400,4,"morethan30","morethan30","1","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"No",2,"Sunday","Chevrolet","Rural","Monday","Mar",3,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",7475,10,400,1,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",4,"Tuesday","Toyota","Urban","Tuesday","Nov",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",7477,3,400,4,"morethan30","morethan30","2to4","7years","41to50","No","No","External","none","4to8years","2vehicles","AllPerils"
"Yes",4,"Tuesday","Accura","Urban","Thursday","Oct",4,"Male","Married","PolicyHolder","Utility","more than 69_000",7495,7,400,2,"morethan30","morethan30","none","morethan7","over65","No","No","External","none","nochange","1vehicle","AllPerils"
